東方緋想天,1345,1345,8000,名詞,一般,*,*,*,*,東方緋想天,トウホウヒソウテン,トウホウヒソウテン,*/*,*
緋想天,1345,1345,8000,名詞,一般,*,*,*,*,緋想天,ヒソウテン,ヒソウテン,*/*,*
東方地霊殿　～ Subterranean Animism.,1345,1345,8000,名詞,一般,*,*,*,*,東方地霊殿　～ Subterranean Animism.,トウホウチレイデン,トウホウチレイデン,*/*,*
東方地霊殿,1345,1345,8000,名詞,一般,*,*,*,*,東方地霊殿,トウホウチレイデン,トウホウチレイデン,*/*,*
地霊殿,1345,1345,8000,名詞,一般,*,*,*,*,地霊殿,チレイデン,チレイデン,*/*,*
東方星蓮船　～ Undefined Fantastic Object.,1345,1345,8000,名詞,一般,*,*,*,*,東方星蓮船　～ Undefined Fantastic Object.,トウホウセイレンセン,トウホウセイレンセン,*/*,*
東方星蓮船,1345,1345,8000,名詞,一般,*,*,*,*,東方星蓮船,トウホウセイレンセン,トウホウセイレンセン,*/*,*
星蓮船,1345,1345,8000,名詞,一般,*,*,*,*,星蓮船,セイレンセン,セイレンセン,*/*,*
東方非想天則　～ 超弩級ギニョルの謎を追え,1345,1345,8000,名詞,一般,*,*,*,*,東方非想天則　～ 超弩級ギニョルの謎を追え,トウホウヒソウテンソク,トウホウヒソウテンソク,*/*,*
東方非想天則,1345,1345,8000,名詞,一般,*,*,*,*,東方非想天則,トウホウヒソウテンソク,トウホウヒソウテンソク,*/*,*
非想天則,1345,1345,8000,名詞,一般,*,*,*,*,非想天則,ヒソウテンソク,ヒソウテンソク,*/*,*
妖精大戦争　～ 東方三月精,1345,1345,8000,名詞,一般,*,*,*,*,妖精大戦争　～ 東方三月精,ヨウセイダイセンソウ,ヨウセイダイセンソウ,*/*,*
妖精大戦争,1345,1345,8000,名詞,一般,*,*,*,*,妖精大戦争,ヨウセイダイセンソウ,ヨウセイダイセンソウ,*/*,*
東方神霊廟　～ Ten Desires.,1345,1345,8000,名詞,一般,*,*,*,*,東方神霊廟　～ Ten Desires.,トウホウシンレイビョウ,トウホウシンレイビョウ,*/*,*
東方神霊廟,1345,1345,8000,名詞,一般,*,*,*,*,東方神霊廟,トウホウシンレイビョウ,トウホウシンレイビョウ,*/*,*
神霊廟,1345,1345,8000,名詞,一般,*,*,*,*,神霊廟,シンレイビョウ,シンレイビョウ,*/*,*
東方心綺楼　～ Hopeless Masquerade.,1345,1345,8000,名詞,一般,*,*,*,*,東方心綺楼　～ Hopeless Masquerade.,トウホウシンキロウ,トウホウシンキロウ,*/*,*
東方心綺楼,1345,1345,8000,名詞,一般,*,*,*,*,東方心綺楼,トウホウシンキロウ,トウホウシンキロウ,*/*,*
心綺楼,1345,1345,8000,名詞,一般,*,*,*,*,心綺楼,シンキロウ,シンキロウ,*/*,*
東方輝針城　～ Double Dealing Character.,1345,1345,8000,名詞,一般,*,*,*,*,東方輝針城　～ Double Dealing Character.,トウホウキシンジョウ,トウホウキシンジョウ,*/*,*
東方輝針城,1345,1345,8000,名詞,一般,*,*,*,*,東方輝針城,トウホウキシンジョウ,トウホウキシンジョウ,*/*,*
輝針城,1345,1345,8000,名詞,一般,*,*,*,*,輝針城,キシンジョウ,キシンジョウ,*/*,*
弾幕アマノジャク　～ Impossible Spell Card.,1345,1345,8000,名詞,一般,*,*,*,*,弾幕アマノジャク　～ Impossible Spell Card.,ダンマクアマノジャク,ダンマクアマノジャク,*/*,*
弾幕アマノジャク,1345,1345,8000,名詞,一般,*,*,*,*,弾幕アマノジャク,ダンマクアマノジャク,ダンマクアマノジャク,*/*,*
アマノジャク,1345,1345,8000,名詞,一般,*,*,*,*,アマノジャク,アマノジャク,アマノジャク,*/*,*
東方深秘録　～ Urban Legend in Limbo.,1345,1345,8000,名詞,一般,*,*,*,*,東方深秘録　～ Urban Legend in Limbo.,トウホウシンピロク,トウホウシンピロク,*/*,*
東方深秘録,1345,1345,8000,名詞,一般,*,*,*,*,東方深秘録,トウホウシンピロク,トウホウシンピロク,*/*,*
深秘録,1345,1345,8000,名詞,一般,*,*,*,*,深秘録,シンピロク,シンピロク,*/*,*
東方紺珠伝　～ Legacy of Lunatic Kingdom.,1345,1345,8000,名詞,一般,*,*,*,*,東方紺珠伝　～ Legacy of Lunatic Kingdom.,トウホウカンジュデン,トウホウカンジュデン,*/*,*
東方紺珠伝,1345,1345,8000,名詞,一般,*,*,*,*,東方紺珠伝,トウホウカンジュデン,トウホウカンジュデン,*/*,*
